city,lng,lat,subject,src,page,year
Buhy,"1,692491","49,1929749",Philippe,70,25,1549
Paris,"2,3522219","48,856614",Philippe,75,31,1557
Buhy,"1,692491","49,1929749",Philippe,75,31,1559
Buhy,"1,692491","49,1929749",Philippe,76,33,1559
Paris,"2,3522219","48,856614",Philippe,77,34,1562
Buhy,"1,692491","49,1929749",Philippe,78,35,1562
Montagny,"4,747658","45,620885",Philippe,78,35,1562
Paris,"2,3522219","48,856614",Philippe,79,37,1564
Paris,"2,3522219","48,856614",Philippe,80,38,1566
Paris,"2,3522219","48,856614",Philippe,81,39,1567
Buhy,"1,692491","49,1929749",Philippe,81,39,1567
Buhy,"1,692491","49,1929749",Philippe,82,40,1568
Paris,"2,3522219","48,856614",Philippe,82,40,1568
Montargis,"2,736291","47,99729",Philippe,82,40,1568
Nevers,"3,162845","46,990896",Philippe,82,40,1568
Lyon,"4,835659","45,764043",Philippe,82,40,1568
Genève,"6,1431577","46,2043907",Philippe,82,40,1568
Francfort,"8,6821267","50,1109221",Philippe,82,40,1568
Heidelberg,"8,6724335","49,3987524",Philippe,83,42,1568
Francfort,"8,6821267","50,1109221",Philippe,83,42,1569
Francfort,"8,6821267","50,1109221",Philippe,84,43,1570
Suisse,"8,227512","46,818188",Philippe,84,43,1570
Grison,"9,5780257","46,6569871",Philippe,84,43,1570
Padoue,"11,8767611","45,4064349",Philippe,84,43,1570
Venise,"12,3155151","45,4408474",Philippe,84,43,1570
Venise,"12,3155151","45,4408474",Philippe,85,44,1570
Venise,"12,3155151","45,4408474",Philippe,86,45,1571
Gênes,"8,946256","44,4056499",Philippe,86,45,1571
Gênes,"8,946256","44,4056499",Philippe,87,47,1571
Ferrare,"11,619787","44,8381237",Philippe,87,47,1571
Ancône,"13,518915","43,6158299",Philippe,87,47,1571
Spoleto,"12,7378003","42,7404881",Philippe,87,47,1571
Rome,"12,4963655","41,9027835",Philippe,88,48,1571
Tivoli,"12,8022261","41,959817",Philippe,88,48,1571
Rome,"12,4963655","41,9027835",Philippe,88,48,1571
Milan,"9,189982","45,4642035",Philippe,88,48,1571
Crémone,"10,0226511","45,133249",Philippe,88,48,1571
Plaisance,"9,6929845","45,0526206",Philippe,89,49,1571
Venise,"12,3155151","45,4408474",Philippe,89,49,1571
Trente,"11,1217486","46,0747793",Philippe,89,49,1571
Innsbruck,"11,4041024","47,2692124",Philippe,89,49,1571
Linz,"14,28583","48,30694",Philippe,89,49,1571
Vienne,"16,3738189","48,2081743",Philippe,89,49,1571
Moravie,"18,2332637","49,7305327",Philippe,89,49,1571
Bohême,"14,9362955","49,8782223",Philippe,89,49,1571
Misnie,"13,4976592","51,1617842",Philippe,89,49,1571
Thuringe,"10,845346","51,0109892",Philippe,89,49,1571
Hesse,"9,1624376","50,6520515",Philippe,89,49,1571
Franconie,"11,3216311","49,9599819",Philippe,89,49,1571
Francfort,"8,6821267","50,1109221",Philippe,89,49,1571
Cologne,"6,9602786","50,937531",Philippe,89,49,1571
Francort,"8,6821267","50,1109221",Philippe,90,50,1571
Francfort,"8,6821267","50,1109221",Philippe,91,52,1571
Pays-Bas,"5,291266","52,132633",Philippe,91,52,1572
Angleterre,"-1,1743197","52,3555177",Philippe,91,52,1572
Angleterre,"-1,1743197","52,3555177",Philippe,92,53,1572
Buhy,"1,692491","49,1929749",Philippe,92,53,1572
Paris,"2,3522219","48,856614",Philippe,92,53,1572
Paris,"2,3522219","48,856614",Philippe,93,54,1572
Paris,"2,3522219","48,856614",Philippe,94,56,1572
Paris,"2,3522219","48,856614",Philippe,95,57,1572
Paris,"2,3522219","48,856614",Philippe,96,59,1572
L'Isle Adam,"2,217872","49,112288",Philippe,96,59,1572
Chantilly,"2,4687389","49,19316",Philippe,96,59,1572
Ivry-le-Temple,"2,4692","49,1781",Philippe,96,59,1572
Ivry-le-Temple,"2,4692","49,1781",Philippe,97,60,1572
Buhy,"1,692491","49,1929749",Philippe,97,60,1572
Dieppe,"1,077483","49,922992",Philippe,97,60,1572
Rye,"1,1755","50,8996",Philippe,97,60,1572
Angleterre,"-1,1743197","52,3555177",Philippe,116,87,1572
Angleterre,"-1,1743197","52,3555177",Philippe,117,88,1572
Saint Germain,"2,093761","48,898908",Philippe,118,90,1574
Mantes-la-Jolie,"1,714958","48,989323",Philippe,119,91,1574
Chantilly,"2,4687389","49,19316",Philippe,119,91,1574
Chantilly,"2,4687389","49,19316",Philippe,120,92,1574
Sedan,"4,93863","49,70349",Philippe,120,92,1574
Jametz,"5,381053","49,430415",Philippe,120,92,1574
Liège,"5,5796662","50,6325574",Philippe,120,92,1574
Aix-la-Chapelle,"6,5396","50,7156",Philippe,120,92,1574
Gulpen,"6,3281","50,766",Philippe,120,92,1574
Aix-la-Chapelle,"6,5396","50,7156",Philippe,121,94,1574
Henri-Chapelle,"6,3721","50,6268",Philippe,121,94,1574
Aix-la-Chapelle,"6,5396","50,7156",Philippe,122,95,1574
Limbourg,"5,3419677","50,9738973",Philippe,122,95,1574
Muderscherid (Möderscheid),"6,6412","50,3192",Philippe,122,95,1574
Saint Vith,"6,5561","50,2156",Philippe,122,95,1574
